izvor,objave,interakcije,doseg,godine_prisutnosti
hpd-jastrebarsko.hr,6,46,594,3
hrsport.net,6,0,1422,1
hrvatskodrustvopisaca.hr,6,0,18,4
ihjj.hr,6,0,102,3
inpharma.hr,6,0,72,3
isp.hr,6,82,1404,2
juliana-nails.hr,6,0,0,3
kakolako.org,6,0,1800,1
koncar.hr,6,0,12,2
kucazdravlja.hr,6,8,360,2
liburnija.com,6,18,774,2
liznjaninfo.hr,6,0,6,3
ljekarnaonline.hr,6,0,138,2
mediaspeed.net,6,0,36,3
minghui.org,6,103,9135,2
miruhbosne.com,6,0,0,1
mmh.hr,6,0,0,2
mojabih.live,6,0,0,1
mojkalendar.com.hr,6,167,4785,3
mojnovisad.com,6,185,36834,2
muo.hr,6,38,1260,2
nainzulinu.com,6,419,5163,3
naj-portal.com,6,0,1800,1
orebic.com.hr,6,0,24,1
orlandofit.hr,6,0,0,3
pcela.hr,6,1,51,5
peticije.online,6,1062,17742,2
pixsell.hr,6,0,432,1
posmrtna-pripomoc.hr,6,1146,14424,1
priceless.com,6,0,1386,2
prijevodi-online.org,6,0,954,1
privredni.hr,6,61,849,3
profil-klett.hr,6,128,2394,4
profil.hr,6,285,3915,3
radio-hrvatska.com,6,0,12,1
rekreativno.info,6,816,14856,1
roditeljsrbija.com,6,0,96,3
rra-sibenik.hr,6,0,0,2
rrif.hr,6,0,540,3
sacredspace.com,6,0,0,2
smile.hr,6,0,6,4
sretnamama.hr,6,87,1449,2
sssh.hr,6,29,369,2
svantun-rijeka.hr,6,2,54,1
szgz.hr,6,0,0,2
tekstoteka.com,6,0,0,1
tvautomagazin.hr,6,0,0,4
tzig.hr,6,6,90,5
tzzadar.hr,6,18,666,4
veliki-tabor.hr,6,0,0,4
vinkovci.com.hr,6,25,333,2
vutra.org,6,0,36,3
vvg.hr,6,0,12,2
wondermaar.com,6,0,0,1
zadra.hr,6,0,18,2
zagrebfacts.hr,6,1749,23517,2
zene.ba,6,2,9612,2
zimo.hr,6,79,7926,1
zlatnavrata.hr,6,0,18,4
anglozine.com,5,16,684,2
arenadental.hr,5,2486,55968,2
arhitekti-hka.hr,5,0,60,4
aspectus.com.hr,5,51,2220,2
avr.hr,5,2,90,2
baska.hr,5,81,2079,4
blogeri.hr,5,62,2795,4
blok.hr,5,0,0,3
bojezvuka.hr,5,281,6321,3
bolinfo.hr,5,24,864,1
brcanski-forum.com,5,0,10,1
callegari.hr,5,20,756,3
camping-simuni.hr,5,0,45,3
carnet.hr,5,37,3166,3
cemex.hr,5,0,30,1
chan.hr,5,65,1503,3
citycenterone.hr,5,0,45,3
cms.hr,5,99,1207,3
coloursofistria.com,5,14,660,2
crnazona.com,5,29,1977,1
cut.hr,5,0,0,2
dajsve.com,5,0,30,3
deltachannels.com,5,55,2475,1
dental-tribune.com,5,0,240,4
digitalne-knjige.com,5,3,140,3
dnevnimag.com,5,558,8791,2
dokishop.hr,5,0,75,3
dokumentarac.hr,5,1176,25993,2
domacikolaci.net,5,112,2651,2
dorh.hr,5,0,15,2
drnis.hr,5,0,0,3
dubrovnik-festival.hr,5,37,883,3
element.hr,5,11,662,3
enterzagreb.hr,5,353,5090,2
ericssonnikolatesla.com,5,0,1500,2
euronogomet.com,5,0,525,1
finder.hr,5,0,5,2
findglocal.com,5,0,3600,1
freelance.hr,5,0,50,4
freeradioprijedor.com,5,21,837,2
fso.hr,5,45,752,2
fzoeu.hr,5,0,115,2
gauss.hr,5,0,0,1
gol.hr,5,2271,143567,3
grad-vinkovci.hr,5,0,1500,3
gradimozadar.hr,5,55,1893,2
hak.hr,5,2,744,4
havk-mladost.hr,5,0,5,3
hazu.hr,5,20,924,2
hbomax.com,5,0,163500,2
hgss.hr,5,6293,70237,1
idi.hr,5,24,1080,4
infinum.com,5,1,750,3
investor.hr,5,0,0,3
jgl.hr,5,42,987,3
jimdofree.com,5,22,38862,3
jug.hr,5,96,1846,2
karlovacki-tjednik.hr,5,0,0,1
kazalistekerempuh.hr,5,0,50,3
kpc.hr,5,0,0,4
kritika-hdp.hr,5,829,11907,2
kulanorinska.hr,5,0,0,2
lag-medjimurskidoliibregi.hr,5,0,0,2
macholevante.com,5,0,10,1
maticahrvatskaosijek.hr,5,48,936,3
medjimurje.info,5,17,729,3
menshealth.hr,5,0,5,3
mercedes-benz.hr,5,0,30,2
metapedia.org,5,5,630,3
milojevic.hr,5,0,10,2
mljet.hr,5,0,5,2
motorevija.com.hr,5,5,219,4
moviestvseries.com,5,0,15,1
mrak.org,5,56,1062,3
mso.hr,5,0,0,2
mytuner-radio.com,5,0,5250,2
nacionalnastraza.hr,5,337,4239,1
nautica-portal.com,5,57,698,2
netflix.com,5,0,2710500,2
novine.eu,5,16,1921,3
np-mljet.hr,5,274,2867,4
np-plitvicka-jezera.hr,5,56,936,3
oceanmore.hr,5,0,10,2
ona.rs,5,28,11535,1
opcina-brela.hr,5,0,5,2
pametnekuceelbin.com,5,0,1500,2
parkovi.eu,5,0,1500,2
pd-obzova.hr,5,0,0,2
pdpaklenica.hr,5,86,1116,3
petrijevci.hr,5,0,0,4
pou-novska.hr,5,59,1575,2
privatnismjestaj.hr,5,5437,132122,2
radiobn.net,5,680,12093,2
radost-jaska.hr,5,0,0,2
recproduction.net,5,48,1836,3
republika.eu,5,36,1314,1
rirock.hr,5,31,855,2
rivijera-paklenica.hr,5,0,0,4
smart.hr,5,0,0,2
smokingpopes.net,5,0,0,1
sportskeigremladih.com,5,2,1554,3
staimanovo.com,5,29,1305,1
starapovijest.eu,5,10,357,1
studenac.hr,5,6,345,3
svetiste-sibenik.hr,5,0,10,1
tounj.hr,5,63,1017,3
turizamilok.hr,5,0,5,1
tuzla.info,5,0,1500,3
tuzlanski.ba,5,3085,16922,2
tz-malilosinj.hr,5,0,0,1
tzbaranje.hr,5,58,797,3
tzo-blato.hr,5,0,0,4
uep.hr,5,0,0,2
unhcr.org,5,35,13302,2
unisport.hr,5,0,5,4
vigilare.org,5,6473,104342,1
virtualnahercegovina.com,5,51,1040,4
vodnjanski.info,5,88,2808,2
vrgorskestarine.hr,5,187,3681,3
wordwall.net,5,13,39927,3
yammat.fm,5,88,1476,5
zdravka.hr,5,56,1278,4
zelena-akcija.hr,5,279,5365,3
zff.hr,5,36,1594,3
zoo.hr,5,1,55,2
zvezdegrandauzivo.com,5,0,0,1
zvjezdano-selo.hr,5,11,495,2
20minuta.hr,4,4,188,4
ab.hr,4,55,2271,3
abcgeografija.com,4,127,2763,2
adria.fun,4,156,4944,2
aladin.info,4,0,516,1
anamihaljevic.com,4,0,1200,2
anarhisticka-biblioteka.net,4,84,2600,3
apn.hr,4,0,12,2
apoteka.hr,4,0,0,2
arenapoliklinika.hr,4,2202,85432,2
audiopro.hr,4,0,48,2
autoservis.hr,4,0,1200,1
azop.hr,4,0,12,3
bernays.hr,4,1,81,2
bksvn.hr,4,154,2844,3
bpz.hr,4,0,76,1
breannmcgregor.com,4,160,3168,1
brija.com,4,0,0,2
cdtmn.org,4,100,1066,2
cibona.com,4,318,4828,1
citizengo.org,4,5715,123939,3
companywall.hr,4,0,72,2
crosarka.com,4,306,4080,1
crozilla.com,4,1,125,2
czp.hr,4,0,8,2
daljepoti.hr,4,0,0,3
ddicpck.hr,4,19,207,3
derventacafe.com,4,125,2101,2
detaljno.net,4,0,84,2
dgu.hr,4,0,0,3
dnevno.ba,4,49,8482,1
dr.karosh,4,9,158,2
draxblog.com,4,0,0,1
dubrava.hr,4,325,23234,2
ehoroskop.net,4,0,132,3
emz.hr,4,1,57,2
farmacia.hr,4,0,8,1
figulus.hr,4,1498,34362,2
franchising.hr,4,0,8,4
furaj.ba,4,92,11468,1
galerijaklovic.hr,4,0,0,3
garnier.hr,4,0,0,3
glamour.hr,4,150,10100,2
globalvoices.org,4,0,1320,1
gracija.info,4,38,1314,1
gradimo.hr,4,0,0,3
gradski-muzej-bjelovar.hr,4,0,0,3
hazud.hr,4,96,2074,1
heritagecroatia.com,4,962,9720,1
hgk.hr,4,6,114,2
hkig.hr,4,0,48,3
hlk.hr,4,58,654,3
hrportali.com,4,0,0,1
hrs.hr,4,6,138,3
hzpp.hr,4,0,576,3
ifs.hr,4,50,1714,2
izbori.hr,4,0,12,2
izvansvakekontrole.com,4,204,3492,2
jw.org,4,53,62253,2
kajscena.hr,4,0,0,2
kblj.hr,4,1,45,1
kkz.hr,4,71,1953,3
klinca-sela.hr,4,0,4,3
korcula.online,4,111,1179,1
kupreskiradio.com,4,828,35232,2
ledo.hr,4,2120,69018,2
lidl.hr,4,0,768,2
lollipop.hr,4,0,0,2
marinmiletic.hr,4,42,792,3
menart.hr,4,0,0,2
menartshop.hr,4,1,81,4
meteo.hr,4,0,2880,3
metro-cc.hr,4,0,24,2
mirakul.hr,4,20,288,4
mojezdravlje.net,4,0,0,2
mostar.live,4,8,1308,2
motopuls.com,4,71,1773,3
motopuls.hr,4,0,0,3
motovun.hr,4,0,4,3
msu.hr,4,157,2015,2
muzej-djakovstine.hr,4,0,4,1
mzss.hr,4,46,1656,3
narodna-knjiznica-drnis.hr,4,0,0,3
nicijazemlja.net,4,259,27488,2
nikel.com.hr,4,0,24,2
nova-akropola.hr,4,0,0,2
nustar.hr,4,0,4,3
o-jankovci.hr,4,0,0,3
oie.hr,4,8,328,2
okz.hr,4,0,4,3
opcina-privlaka.hr,4,0,0,1
opcinabol.hr,4,0,0,4
oruzjeonline.com,4,107,2485,4
osjecka.com,4,0,12,1
oslobodjenje.ba,4,6268,9854,2
ozalj.hr,4,0,4,2
park-maksimir.hr,4,19,859,2
phralipen.hr,4,195,2663,3
pif.hr,4,18,234,2
plejer.net,4,61,1665,3
podravka.hr,4,0,88,3
polleosport.hr,4,44432,1833448,3
port.hr,4,0,172,1
portalinformer.com,4,0,1200,1
pp-zumberak-samoborsko-gorje.hr,4,132,1534,4
praktikumcentar.com,4,88,5124,3
radiona.org,4,0,36,2
redoofhealer.top,4,0,1200,1
regate.com.hr,4,36,360,2
reiki-dojo.net,4,391,6309,3
revijahak.hr,4,0,216,1
rijekasport.hr,4,0,0,3
rugvica.hr,4,1,45,2
savez-dnd.hr,4,10,450,3
sfera.hr,4,0,0,1
spar.hr,4,0,276,2
sph.hr,4,16,324,3
sportvision.hr,4,0,156,4
stomatolog-patricia.hr,4,0,12,1
stratus.hr,4,0,48,2
strucnaknjizara.com,4,0,8,2
sumins.hr,4,0,8,2
svetplus.com,4,29,1343,1
tehnicki-muzej.hr,4,0,8,1
toninopicula.com,4,96,2934,2
trendolizer.com,4,0,216,1
turizam-vzz.hr,4,439,15633,1
tz-baska.hr,4,0,8,2
tzvelaluka.hr,4,0,0,3
uciliste-lovran.hr,4,303,8455,3
ugradu.info,4,46,774,2
unicef.org,4,1070,33288,3
urania.hr,4,0,0,3
vevu.hr,4,0,36,3
webnode.hr,4,337,4827,3
wikisource.org,4,244,30066,2
yachts.hr,4,0,8,1
zaamagazine.xyz,4,0,1200,2
zadruga5.com,4,192,4110,1
zaton.hr,4,0,100,1
zeelena.com.hr,4,0,0,1
zmag.hr,4,0,8,3
zmurh.hr,4,13,125,3
zoran.batarilo,4,66,792,1
zupa-bl-stepinac.hr,4,68,1710,1
zupanet.hr,4,34,450,1
about.hr,3,0,0,1
adriapress.hr,3,18,1710,1
aem.hr,3,0,6,2
akademijazse.hr,3,0,3,2
akta.ba,3,4,3497,2
apartmanihrvatska.hr,3,0,3,1
aquilonis.hr,3,0,3,2
argonauta.hr,3,71,1179,2
autotrolej.hr,3,1,81,2
azu.hr,3,0,0,1
azvo.hr,3,0,27,2
bauerfeind.hr,3,335,8766,2
beautypharmacy.hr,3,0,9,2
bfm.hr,3,0,9,3
bhinfoportal.online,3,35,1575,1
bjnewlife.org,3,0,630,2
blagamisterije.com,3,235,3684,1
boginjenestare.com,3,0,900,2
bokun-neba.com,3,114,2862,1
boljani.info,3,1,45,3
bookzvook.com,3,231,2997,1
bosch.hr,3,0,0,2
burza.com.hr,3,9,189,3
bus.hr,3,0,72,1
buz.hr,3,0,0,3
cambridge.org,3,0,111600,2
campaign-archive.com,3,499027,17597061,3
churchofjesuschrist.org,3,0,26730,1
cosmetic.com.hr,3,0,0,1
creativabox.com,3,743,13248,2
croatianhistory.net,3,10,423,2
croatiaopen.hr,3,0,6,2
cunahr.net,3,32,810,3
dalmacijaportal.hr,3,0,0,1
damanhurhrvatska.org,3,3,87,2
dinarskogorje.com,3,20,351,2
dip.hr,3,0,0,2
docsity.com,3,0,7308,2
dreznica.net,3,10,414,2
drmecava.com,3,0,0,1
drmecava.net,3,0,900,1
drvo-namjestaj.hr,3,0,0,1
dubokavoda.com,3,20,864,1
dudinka.org,3,153,2691,1
dugirat.hr,3,43,531,3
eau-thermale-avene.com.hr,3,125,2481,1
ecovast.hr,3,7,279,2
eizg.hr,3,0,6,1
elcars.com.hr,3,0,0,1
eljekarna24.hr,3,0,54,3
ellemclin.com,3,0,0,1
emins.org,3,2,96,1
emotivnaluda.com,3,1722,24477,2
fitness.com.hr,3,496,8685,3
fitzona.hr,3,5,207,3
fmfs.hr,3,104,1746,1
folder.hr,3,0,7820,1
fondovi.hr,3,1,161,2
forex.hr,3,0,900,1
full-design.com,3,0,1260,1
gacka053.com,3,0,900,1
ghetaldusdalmacija.hr,3,0,0,2
girija.info,3,66,1883,2
gkl-split.hr,3,0,3,2
glagoljica.hr,3,13,549,2
glasnik-sim.hr,3,2618,30798,1
gradskagroblja.hr,3,0,27,2
haop.hr,3,0,3,2
hbps.hr,3,300,6588,2
hdke.hr,3,0,0,1
hds.hr,3,6,90,3
hedera.hr,3,586,23493,2
hgspot.hr,3,0,477,2
hiccasino.com,3,0,900,2
hlc-rdc.org,3,0,6,1
hok-cba.hr,3,0,18,2
holcim.hr,3,0,3,1
hpb.hr,3,0,468,2
hpo.hr,3,0,0,1
hr-nekretnine.hr,3,0,6,2
hrastovic-inzenjering.hr,3,0,6,3
hrvatskiklubputnika.com,3,0,3,1
hsls.hr,3,33,495,2
hvarskabiskupija.hr,3,166,3618,2
hzuts.hr,3,0,0,1
igre.hr,3,0,63,2
ikea.com,3,0,170100,1
inmusicfestival.com,3,140,1503,1
iscjeljivanje.net,3,411,7227,2
istina.put.zivot,3,131,1932,1
istinomprotivlazi.eu,3,843,19827,1
jadrolinija.hr,3,0,189,1
joker.hr,3,33,1485,2
judo.hr,3,6,468,2
kastela.hr,3,0,18,1
katolik.hr,3,47,1719,1
kaufland.hr,3,1061,12483,3
knjiznica-kutina.hr,3,0,0,2
komora.hr,3,7,315,2
konzervativac.com,3,434,6588,2
kostajnica.com,3,286,2844,1
krilo.info,3,89,2385,2
kronika.hr,3,0,6,1
kulturni-turizam.com,3,1,54,2
kupime.hr,3,1,26487,2
kvarnerski.com,3,72,3630,1
lektire.hr,3,1,225,3
lidija-kralj.from.hr,3,0,0,2
lijepa.hr,3,0,108,3
likaplus.hr,3,23,819,3
ljekarna-marusic.hr,3,0,54,3
maris.hr,3,23,1038,2
matematika.hr,3,45,828,2
matica-sindikata.hr,3,0,0,2
matrixworldhr.com,3,418,8835,1
minimagazin.info,3,0,33,1
minimax.hr,3,0,24,3
mmc.hr,3,0,0,3
mnlffer.com,3,0,0,2
mojvideo.com,3,0,54,2
motolyrics.com,3,0,51,3
motovunfilmfestival.com,3,68,1089,1
mps.hr,3,0,33,2
mstim.hr,3,0,0,2
mtv.com.hr,3,0,0,1
muzej-sisak.hr,3,0,0,2
muzika.hr,3,1162,55799,2
nedelist.hr,3,82,1353,1
nexus-svjetlost.com,3,0,0,1
nk-osijek.hr,3,45,621,3
nklokomotiva.hr,3,0,6,1
np-sjeverni-velebit.hr,3,13,585,2
nshronika.rs,3,2,872,2
objava.hr,3,0,900,1
obnova.com.hr,3,110,2106,2
online-kladionica.com,3,0,0,1
opcina-mala-subotica.hr,3,0,6,1
patreon.com,3,1,185445,3
pazinstina.info,3,155,1539,1
perun.hr,3,104,1944,2
pescanik.net,3,189,2988,1
pevex.hr,3,0,1080,2
plaviured.hr,3,83,1899,1
podravkagrupa.com,3,0,900,2
poliklinika-breyer.hr,3,48,468,1
portal-udar.net,3,20,1476,1
portal-veterani.info,3,32,1458,2
poslanik.gospodina,3,15639,400595,2
primatexpertise.com,3,346,15588,1
printshop.hr,3,0,9,1
prnjavorinfo.com,3,219,3483,2
profitmagazin.com,3,0,9,2
promet-split.hr,3,0,0,2
prozor-rama.org,3,10,414,3
prvi.hr,3,0,9,1
psiholoski-prostor.org,3,362,5742,1
putopis.hr,3,401,6939,3
quovadiscroatia.com,3,400,7587,2
rabac-labin.com,3,6,216,3
radio-dunav.com,3,0,3,1
radio101.hr,3,0,39,1
radiobalkanfox.com,3,0,18,2
radioprkos.hr,3,0,0,2
rakovec.hr,3,0,0,2
raport.ba,3,101,9493,2
receptizasve.com,3,0,87,2
recipeci.com,3,50,2328,2
ris.hr,3,15,318,2
ruralnirazvoj.hr,3,2,57,3
satelitskiforum.com,3,0,0,2
sdp.hr,3,1116,12135,2
sesvete-online.info,3,0,0,1
sivazona.hr,3,0,0,2
sljeme.hr,3,0,3,3
slobodnizajedno.org,3,223,3501,1
sos-dsh.hr,3,0,3,2
sportarena.hr,3,0,0,1
sportskacentrala.com,3,145,1755,1
sportskiobjekti.hr,3,0,45,1
spotify.com,3,1,45,1
stratego.hr,3,0,0,2
suverenisti.hr,3,14,162,2
svetijosip.com,3,388,6768,3
svijet-beba.hr,3,0,36,2
thecookwarehq.com,3,0,0,1
thinkific.com,3,1100,57456,3
tickets.rs,3,3,6907,2
tigrovi-urv1gbr.com,3,35,387,2
tommy.hr,3,0,87,2
topzabava.com,3,3,4631,2
tripalo.hr,3,0,3,2
tunein.com,3,48,11952,3
ucitelji.hr,3,5,195,3
udruga-praktikum.hr,3,0,0,1
ugng.hr,3,9,261,3
uredinfo.com.hr,3,0,0,2
usluga.hr,3,0,0,3
uzishop.hr,3,0,27,1
vallis-colapis.hr,3,0,0,2
vijesti-x.com,3,79,1422,1
vikendplaner.info,3,7,986,2
vinopedia.hr,3,0,0,2
visitilok.hr,3,0,900,2
visitogulin.hr,3,157,3627,2
vukovarka.hr,3,0,0,1
whisperofnature.eu,3,1,45,2
wixstudio.com,3,29,1557,1
yimbybilbao.com,3,0,0,1
zdravljeija.hr,3,0,900,1
zehra.ba,3,2,454,1
zenavrsna.com,3,3324,35322,2
1000kucnihlijekova.info,2,7,135,1
24kitchen.com.hr,2,0,6,2
3sporta.com,2,694,7922,2
4chan.org,2,0,53220,1
4lookstore.com,2,70,1350,1
a1.hr,2,0,450,2
acer.com,2,0,9300,2
adidas.hr,2,0,600,1
adriaticnews.eu,2,0,600,1
adrinet.hr,2,0,0,2
adventure-rakela.com,2,0,0,1
agroburza.hr,2,33,1017,2
agroinfonet.com,2,26,286,1
agroklub.ba,2,21,4918,1
akademijaroditeljstva.com,2,57,3093,1
alexandar.org,2,0,2,1
algoritamcasino.com,2,0,600,1
aminess.com,2,10,210,1
apprrr.hr,2,0,22,2
archivesportaleurope.net,2,0,34,1
arenacentar.hr,2,0,24,2
arrivatravel.hr,2,0,0,1
art-anima.com,2,50,610,2
astropsychecenter.com,2,14,1230,1
astrosavjetnik.hr,2,1752,53664,1
atlanticgrupa.com,2,0,22,2
autocheckcenter.hr,2,17,1329,1
automotosvijet.com,2,65,909,1
balkandzije.net,2,0,0,1
bandsintown.com,2,0,6840,2
bankazlata.com,2,130,3522,1
banovinahorosan.com,2,46,670,2
barmen.hr,2,22,1748,2
beatus.hr,2,1,645,2
belje.hr,2,0,4,2
besiktasarena.com,2,0,142,1
bestpractice.hr,2,0,2,1
bhvedu.com,2,26,630,2
bibliotekaxxvek.com,2,0,2,2
biganimal.net,2,0,26,1
bijeljinaturizam.com,2,0,2,2
bistricki-zvukolik.com.hr,2,0,4,1
bitno.hr,2,1036,33807,1
bizg.hr,2,79,1417,2
blitz-cinestar.hr,2,2633,76023,2
bonafidesinvest.eu,2,294,5118,2
bonjour.ba,2,31,10812,1
bookaleta.com,2,126,1912,1
booking.com,2,0,0,2
brckodanas.com,2,153,1611,2
brckovljani.hr,2,0,0,2
budifrajer.info,2,50,1320,1
budislobodan.com,2,22,990,1
businessedgedesigns.com,2,992,44568,1
casinoponude.com,2,0,600,1
cce.hr,2,1315,18747,1
cert.hr,2,47,1305,2
cg-fudbal.com,2,22,1014,2
chorvatskoubytovanie.net,2,0,0,1
cicinails.hr,2,0,600,2
cinehill.eu,2,0,600,1
cockta.eu,2,0,2,1
comes.de.poglizza,2,303,7110,1
creativesociety.com,2,0,204,2
crimesofcommunism.net,2,807,11085,1
croatiarediviva.com,2,0,0,2
cybersafety.hr,2,0,600,2
czk-cakovec.hr,2,0,2,1
d-a-r.hr,2,8,288,1
daliborkovacec.com,2,0,600,1
dbv.hr,2,0,600,1
debbieschlussel.com,2,0,12,1
degrad.hr,2,0,0,1
demosmedia.hr,2,93,2559,2
dermalogica.hr,2,33,1451,2
desavanjaubijeljini.com,2,0,46,2
dioptrija.hr,2,28,966,2
direkt-informator.hr,2,9,117,1
djecaci.net,2,0,0,1
djecji-vrtic-drnis.hr,2,0,0,1
doktor-online.hr,2,434,6894,1
domomladine.org,2,51,749,1
domovina.info,2,54,560,1
duhovnaakademija.com,2,11,699,2
dvapapira.hr,2,0,0,1
eduza.hr,2,0,2,1
eiz.hr,2,0,0,1
elevate.hr,2,0,0,1
energetskipsiholog.org,2,0,0,1
etrebinje.com,2,15,2671,2
femix.info,2,1,47,1
ffri.hr,2,0,2,1
ffrz.hr,2,32,1170,1
ffzg.hr,2,0,42,1
fixyourdlp.com,2,0,32,1
fizzit.net,2,0,0,1
flowsummitcroatia.com,2,26465,479145,2
fluminensia.org,2,592,24948,1
fokus24.eu,2,0,600,1
franjevci-st.com,2,37,711,1
franjevcitrecoredci.hr,2,866,15126,1
galaksija.hr,2,0,4,2
garevac.net,2,2,90,2
garmin.com,2,0,16440,2
gdck-sibenik.hr,2,0,0,1
geologia-croatica.hr,2,0,2,2
givingbalkans.org,2,241,3523,2
gligora.com,2,0,6,1
glomazniotpad.com,2,0,0,1
goo.hr,2,16,180,2
google.cat,2,0,588,1
gosimple.hr,2,186,3296,2
gracanicaonline.info,2,39,1783,1
guster.com.hr,2,0,0,2
gw-world.com,2,0,156,2
happyfm.hr,2,0,600,1
harisislamcevic.com,2,93,1017,2
havc.hr,2,34,690,2
hciti.hr,2,0,0,2
hdzbih-zsb.org,2,88,1080,1
hep.hr,2,0,660,2
hfd.hr,2,0,26,1
hgi-cgs.hr,2,0,0,2
hgm.hr,2,0,0,1
hiaworkshop.com,2,65,2925,1
hiking.croatia,2,1867,12308,1
home.blog,2,229,12789,2
hotel-turist.hr,2,0,0,1
hotelkaj.hr,2,9,411,2
hotmart.host,2,0,600,2
hr.asia,2,0,0,2
hrsbih.org,2,3515,154595,2
hrvatskarijecunizozemskoj.org,2,0,0,1
hrvatskazazivot.com,2,19,279,1
hsan.hr,2,0,2,1
hsmuzej.hr,2,24,774,2
hsp1861.hr,2,704,9072,1
hst.hr,2,0,0,1
hts.hr,2,0,0,1
hub.hr,2,0,4,2
hulu-split.hr,2,0,0,2
humanrightsfestival.org,2,312,3582,2
hzhm.hr,2,0,0,1
i1info.net,2,28,688,1
ideaputovanja.hr,2,1352,31392,1
ief.hr,2,0,0,2
igre123.net,2,0,72,2
ijf.hr,2,0,18,1
imightbewrongblog.com,2,167,2763,1
independent-bh.com,2,0,600,1
info-danas.com,2,0,600,1
info-puls.hr,2,0,0,2
infodata.hr,2,0,0,1
infoveza.com,2,54,2076,2
infovrsar.com,2,0,4,2
inkluzija-sibenik.hr,2,0,0,2
inkluzija.hr,2,40,1152,2
inkubator.hr,2,32,360,1
ipokloni.com,2,0,0,2
islamska-zajednica.hr,2,0,0,1
istocnabosna.com,2,28,1228,2
istrage.hr,2,25,1089,2
istria-culture.com,2,20,282,2
istriasun.com,2,2,108,1
ivanlovrenovic.com,2,101,2241,1
izdvojeno.site,2,0,0,2
izleti.hr,2,20,1248,1
jamosnews.com,2,0,18,1
jarac.hr,2,0,600,1
javnost.hr,2,243,3771,1
jelenmusicshow.com,2,290,2990,2
jobmonkeyjobs.com,2,0,28,1
journaldeluxe247.com,2,4,108,1
jrs.net,2,21,339,1
kaca.brajevic,2,0,6,2
kaptolcinema.hr,2,2064,54354,2
karmelbsi.hr,2,0,4,1
katedraladubrovnik.hr,2,62,1674,1
keindl-sport.hr,2,0,60,1
keplerunited.org,2,197,5613,2
kjpanorama.eu,2,0,0,1
klub-susacana.hr,2,38,1278,1
knjigaimena.com,2,1,61,1
knjiznica-daruvar.hr,2,0,0,1
ko-fi.com,2,6,11130,2
kockavedrine.com,2,0,0,1
kojiauto.hr,2,8,180,2
kompare.hr,2,0,60,1
kosinj.com,2,1055,15297,2
kpd-sloga.hr,2,0,0,2
krapina.hr,2,0,0,1
krizari.hr,2,1,45,2
kronospan.com,2,0,600,1
krusnica.com,2,0,600,1
kucaljudskihprava.hr,2,0,0,1
kuzinavanje.com,2,0,0,1
kuzma-kovacic.from.hr,2,2,690,1
kvadrat.hr,2,0,0,2
laburisti.com,2,2,54,1
lacuna.hr,2,0,12,2
letkomat.hr,2,0,96,1
lisinski-bj.hr,2,27,279,2
listacasina.com,2,0,600,1
ljekarna.hr,2,0,52,1
ljekarnatalan.hr,2,0,0,2
ljekarne-dvorzak.hr,2,0,2,1
lokve.hr,2,3,135,1
lovezagreb.hr,2,243,8199,2
lstore.hr,2,0,0,2
lugera.hr,2,0,600,2
m.kimono,2,0,5,1
madeinmontenegro.com,2,2,60,1
magazin.hr,2,0,3816,1
magicbaby.hr,2,90,1726,1
magicbaloni.hr,2,0,0,2
majawu.eu,2,5,225,2
makarska-post.com,2,0,0,1
maminkutak.com,2,0,0,1
mana.hr,2,0,6,1
mariolab.hr,2,23,1347,1
medium.com,2,764,14448,1
meetup.com,2,10904,413490,2
meteo-info.hr,2,30,960,2
microsoft.com,2,3,147,2
millioninvestor.com,2,0,618,1
mimara.hr,2,24,436,2
mirovinsko.hr,2,0,294,2
misijamission.hr,2,0,600,1
misljenja.hr,2,28,1260,2
mistertrufa.net,2,0,0,1
mladi-eu.hr,2,0,0,2
mladibl.com,2,12,558,2
mobilnost.hr,2,0,36,1
mobis.hr,2,20,2653,2
mooshema.com,2,1690,51248,2
mreza.hr,2,0,0,2
mrezerijeci.com,2,21,1041,1
multi-vitamini.com,2,0,6,1
muzej-turopolja.hr,2,0,0,1
muzej-vukovar.hr,2,0,0,1
muzevnibudite.com,2,4120,59942,2
mykajabi.com,2,0,20040,2
n-um.com,2,5289,79701,1
najnovije.me,2,115,8006,1
naklada-benedikta.hr,2,85,2097,2
nastjacool.com,2,408,6804,1
nazdravlje.hr,2,0,600,1
ndcosijek.hr,2,0,0,2
ndnv.org,2,1528,17390,2
nekretnine-mojdom.com,2,408,16722,2
neostar.com,2,0,48,1
neslanovac.hr,2,89,999,2
netlify.app,2,0,0,1
newsline.news,2,0,26,1
niskogradnjapregrada.hr,2,0,2,2
nn.hr,2,0,420,2
nocmuzeja.hr,2,0,0,2
normabel.com,2,1630,27210,1
nova-akropola.com,2,184,3892,2
novska.in,2,373,4203,1
npscp.info,2,5,117,1
nuntius-dubrovnik.com,2,0,0,2
nzjz-split.hr,2,0,12,2
obavestavamo.info,2,0,0,1
oddsdigger.com,2,0,28,2
odgovorno.hr,2,12,540,2
oicanadian.com,2,0,456,1
onenastupaju.hr,2,251,4677,1
onetapplay.com,2,0,2,1
opcina-sali.hr,2,0,2,1
opcina-vludina.hr,2,0,0,2
openhours.hr,2,0,0,1
orebic.hr,2,0,2,2
oris.hr,2,0,0,2
os-novska.hr,2,0,0,2
otpbanka.hr,2,0,366,2
otporas.com,2,0,4,1
