izvor,objave,interakcije,doseg,godine_prisutnosti
ps-portal.eu,204,6263,98397,4
rtv-hb.com,203,15170,214276,4
labinstina.info,201,2048,46440,4
svejetu.hr,198,0,396,6
kigo.hr,196,147,4701,3
sport-pozega.hr,196,1608,37508,6
after5.hr,192,5265,145971,3
istina.media,192,8153,161379,3
hercegovina.info,191,34471,529387,3
zupa-duhasvetoga-jarun.hr,188,1114,11600,6
croexpress.eu,187,14087,214216,4
virovitica.net,187,2120,54144,3
crnojaje.hr,186,638,22374,6
svi-katalozi.net,186,6,56070,4
otoci.net,185,8758,143223,6
siscia.hr,183,6017,107757,6
ebrod.net,180,6398,107298,6
booksa.hr,178,5568,83210,6
novo.hr,178,3360,80622,6
zupanjac.net,178,20835,260091,5
financije.hr,176,1129,74721,4
kastela.com,176,6300,106776,6
bbzinfo.hr,175,2349,55771,3
burin.hr,175,3256,66528,4
foi.hr,175,2,35265,6
germanijak.hr,175,10545,171456,5
senjskabura.hr,173,25,477,3
pula.hr,172,1421,29139,6
glamur.tv,171,0,51300,1
sesvete-danas.hr,171,3759,58203,4
hdkn.hr,170,65,2007,6
hdz.hr,170,567,10655,5
radiopag.hr,170,3027,50037,6
dugopolje.org,169,30875,1703313,5
rilu.news,169,0,50700,1
www.rama-prozor.info,169,33728,1587367,3
radiodalmacija.hr,168,27305,1226817,6
duhovniportal.com,166,2264,153992,3
obican.info,166,3072,49134,3
zapad.tv,166,3007,67419,5
jadranski.hr,164,1151,34960,3
zastita.info,164,368,11340,5
hcl.hr,163,23580,742323,6
jolie.hr,163,4964,84025,6
hic.hr,162,112,4050,2
stilueta.net,162,4106,70416,6
bljesak.info,161,20681,1055608,6
ipaprkc.org,160,10925,190989,4
poduzetnik.biz,160,4441,71391,5
zupa-sv-marka-krizevcanina.hr,159,31,855,6
lokalnatv.com,158,10,414,1
fino.hr,157,0,0,3
poslovni-savjetnik.com,157,128,4182,6
lika-online.com,156,5700,91056,2
politika24.net,155,1023,44185,2
donbosco.hr,154,2974,47630,6
mojarijeka.hr,153,2476,40482,6
slavonijainfo.com,153,8276,132660,5
poduzetnistvo.org,152,0,152,3
bosanskakrajina.online,151,1997,107625,3
infpult.info,150,340,9360,2
dubrovackiportal.hr,149,9403,343881,2
sibensko-kninska-zupanija.hr,149,784,20599,3
matica.hr,148,859,14551,5
varazdin.hr,148,1799,34281,5
osijek-danas.com,147,1811,37953,6
kulturpunkt.hr,146,6031,110981,6
znanje.hr,146,1554,52842,6
posavinatv.com,145,5,43581,2
automania.hr,144,782,25380,6
kucice.hr,144,483,7101,6
coverstyle.hr,143,2838,64295,6
magme.hr,142,2144,39168,6
radio-daruvar.hr,142,10553,264123,6
vitez.info,141,7509,537756,3
advance.hr,140,3171,156265,6
srbi.hr,140,1047,55617,3
360hr.news,139,0,278,2
bolji-ljubuski.com,139,3452,48433,4
promise.hr,139,39968,676759,6
radiolabin.hr,139,3321,57082,6
dailyadvent.com,138,0,235980,2
film-mag.net,138,136,3234,2
ziher.hr,138,3602,73221,6
ljepotaizdravlje.hr,137,2026,43641,6
vrisak.info,136,5829,87597,2
zgexpress.net,136,4005,76843,6
virovitica.hr,135,1615,40230,6
labinskakomuna.eu,134,1794,75624,3
regionalni.hr,132,20,40428,1
studiom.hr,132,2066,38286,6
trogirskiportal.hr,132,6875,93609,6
vukovar.hr,132,608,16488,6
ictbusiness.info,130,268,9680,6
modnialmanah.com,130,220,3840,4
pogled.hr,130,1142,64038,2
radiovrbovec.hr,130,12299,170721,5
slowliving.hr,129,1324,27294,5
dugoselska-kronika.hr,128,89,2655,6
klanjateljice.hr,128,11282,165474,6
fratellanza.net,127,1457,68187,5
varazdinska-zupanija.hr,127,207,4989,5
zmaichek.com.hr,127,341,8884,6
danica.hr,126,31806,509814,6
forum.tm,126,14047,233793,6
mega-media.hr,126,2150,54216,6
unist.hr,126,997,44505,6
varazdin-info.com,126,131,3735,4
mondotravel.hr,125,1656,45977,6
radioslavonija.hr,125,31,927,6
